-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,12,12,13,12,12,12,12,12,12,12,12,12,12,12,13
12,12,12,12,12,12,12,12,13,12,12,12,12,12,12,12
12,13,12,12,12,12,12,12,12,12,12,12,12,13,12,12
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,22,22,22,20,22,22,22,21,22,22,22,22,22,20,22
22,18,19,22,22,22,18,19,22,18,19,22,22,22,18,19
22,23,24,22,22,22,23,24,22,23,24,22,22,22,23,24
15,23,24,22,22,22,23,24,15,23,24,22,20,22,23,24
